code,item_code,quantity,product_name,variant_name,color,size
5445454,"xl/اسود ساده-5445454",2155,"بنطلون كيكي","xl/اسود ساده",xl,"اسود ساده"
5445454,"xl/اسود مطبوع-5445454",66,"بنطلون كيكي","xl/اسود مطبوع",xl,"اسود مطبوع"
3945823,XL/اسود-3945823,25,"طقم jumpsuit",xl/اسود,xl,اسود
874234782,xl/اسود/female-874234782,100,"هودي استيتش وانجل",xl/اسود/female,xl,اسود
874234782,xl/اسود/male-874234782,100,"هودي استيتش وانجل",xl/اسود/male,xl,اسود
874234782,xl/بيبي_بلو/female-874234782,100,"هودي استيتش وانجل",xl/بيبي_بلو/female,xl,بيبي_بلو
874234782,xl/بيبي_بلو/male-874234782,100,"هودي استيتش وانجل",xl/بيبي_بلو/male,xl,بيبي_بلو
3945823,XL/بيج-3945823,60,"طقم jumpsuit",XL/بيج,XL,بيج
874234782,xl/بيج/female-874234782,100,"هودي استيتش وانجل",xl/بيج/female,xl,بيج
874234782,xl/بيج/male-874234782,100,"هودي استيتش وانجل",xl/بيج/male,xl,بيج
