code,item_code,quantity,product_name,variant_name,color,size
978786754,"نافورة البامبو-978786754",0,مبخرة,"نافورة البامبو","نافورة البامبو",None
,"نافورة الشكولاتة",100,"palestine - 32cm*90cm","نافورة الشكولاتة","نافورة الشكولاتة",None
978786754,"نافورة الشكولاتة-978786754",0,مبخرة,"نافورة الشكولاتة","نافورة الشكولاتة",None
,"نافورة الشلال",100,"palestine - 32cm*90cm","نافورة الشلال","نافورة الشلال",None
978786754,"نافورة الشلال-978786754",26,مبخرة,"نافورة الشلال","نافورة الشلال",None
132214324,"نافورة الشموع-132214324",100,"النافورة العطرية","نافورة الشموع","نافورة الشموع",None
978786754,"نافورة الشيكولاتة",77,مبخرة,"نافورة الشيكولاتة","نافورة الشيكولاتة",None
,"نافورة النجمة",100,"palestine - 32cm*90cm","نافورة النجمة","نافورة النجمة",None
978786754,"نافورة النجمة-978786754",64,مبخرة,"نافورة النجمة","نافورة النجمة",None
,"نافورة جبال ابها",100,"palestine - 32cm*90cm","نافورة جبال ابها","نافورة جبال ابها",None
978786754,"نافورة جبال ابها-978786754",97,مبخرة,"نافورة جبال ابها","نافورة جبال ابها",None
759048585574,نبيتي-759048585574,100,"شيميز اوفر سايز",نبيتي,نبيتي,None
84775922,نبيتي-84775922,101,"اسدال Bo",نبيتي,نبيتي,None
784410541,نبيتي/1XL-784410541,99,"ترنج more",نبيتي/1XL,نبيتي,1XL
127858495,نبيتي/2XL-127858495,27,"جاكيت ساده",نبيتي/2XL,نبيتي,2XL
23859748,نبيتي/2XL-23859748,3,"تيشرت بيكا",نبيتي/2XL,نبيتي,2XL
2474055,نبيتي/2XL-2474055,99,"جاكيت بسوسته",نبيتي/2XL,نبيتي,2XL
35456438756,نبيتي/2xl-35456438756,150,"طقم قطعتين",نبيتي/2XL,نبيتي,2XL
43567876,نبيتي/2XL-43567876,5,ديفا,نبيتي/2XL,نبيتي,2XL
445678,نبيتي/2xl-445678,100,هودي,نبيتي/2XL,نبيتي,2XL
47565789,نبيتي/2xl-47565789,80,"طقم 4 قطع",نبيتي/2XL,نبيتي,2XL
49675024,نبيتي/2XL-49675024,100,freeedom,نبيتي/2XL,نبيتي,2XL
5037503,نبيتي/2XL-5037503,0,"بلوزه زراير",نبيتي/2XL,نبيتي,2XL
7225741,نبيتي/2XL-7225741,20,"كاندي قطعتين",نبيتي/2XL,نبيتي,2XL
747893865,نبيتي/2XL-747893865,0,تونك,نبيتي/2XL,نبيتي,2XL
784410541,نبيتي/2XL-784410541,98,"ترنج more",نبيتي/2XL,نبيتي,2XL
8376490,نبيتي/2xl-8376490,25,"cargo suit",نبيتي/2XL,نبيتي,2XL
127858495,نبيتي/3XL-127858495,21,"جاكيت ساده",نبيتي/3XL,نبيتي,3XL
23859748,نبيتي/3XL-23859748,4,"تيشرت بيكا",نبيتي/3XL,نبيتي,3XL
2474055,نبيتي/3XL-2474055,100,"جاكيت بسوسته",نبيتي/3XL,نبيتي,3XL
43567876,نبيتي/3XL-43567876,0,ديفا,نبيتي/3XL,نبيتي,3XL
49675024,نبيتي/3XL-49675024,98,freeedom,نبيتي/3XL,نبيتي,3XL
7225741,نبيتي/3XL-7225741,19,"كاندي قطعتين",نبيتي/3XL,نبيتي,3XL
784410541,نبيتي/3XL-784410541,99,"ترنج more",نبيتي/3XL,نبيتي,3XL
23859748,نبيتي/4XL-23859748,10,"تيشرت بيكا",نبيتي/4XL,نبيتي,4XL
8376490,نبيتي/A-8376490,,"cargo suit",نبيتي/A,نبيتي,A
8376490,نبيتي/B-8376490,,"cargo suit",نبيتي/B,نبيتي,B
8376490,نبيتي/C-8376490,,"cargo suit",نبيتي/C,نبيتي,C
127858495,نبيتي/XL-127858495,100,"جاكيت ساده",نبيتي/XL,نبيتي,XL
23859748,نبيتي/XL-23859748,5,"تيشرت بيكا",نبيتي/XL,نبيتي,XL
2474055,نبيتي/XL-2474055,100,"جاكيت بسوسته",نبيتي/XL,نبيتي,XL
35456438756,نبيتي/xl-35456438756,100,"طقم قطعتين",نبيتي/XL,نبيتي,XL
43567876,نبيتي/XL-43567876,100,ديفا,نبيتي/XL,نبيتي,XL
445678,نبيتي/xl-445678,100,هودي,نبيتي/XL,نبيتي,XL
4636858874,نبيتي/xl-4636858874,70,"شيميز سوفت ليكرا",نبيتي/XL,نبيتي,XL
47565789,نبيتي/xl-47565789,117,"طقم 4 قطع",نبيتي/XL,نبيتي,XL
49675024,نبيتي/XL-49675024,100,freeedom,نبيتي/XL,نبيتي,XL
5037503,نبيتي/XL-5037503,100,"بلوزه زراير",نبيتي/XL,نبيتي,XL
7225741,نبيتي/XL-7225741,19,"كاندي قطعتين",نبيتي/XL,نبيتي,XL
747893865,نبيتي/XL-747893865,100,تونك,نبيتي/XL,نبيتي,XL
8376490,نبيتي/xl-8376490,100,"cargo suit",نبيتي/XL,نبيتي,XL
78781454,"نسخه المصحف الشريف-78781454",101,"نسخه المصحف الشريف","نسخه المصحف الشريف","نسخه المصحف الشريف",None
759048585574,هافان-759048585574,100,"شيميز اوفر سايز",هافان,هافان,None
21784358,هافان/2XL-21784358,99,"جاكيت ببندانه",هافان/2XL,هافان,2XL
35456438756,هافان/2xl-35456438756,50,"طقم قطعتين",هافان/2XL,هافان,2XL
43763129,هافان/2XL-43763129,99,بالطو,هافان/2XL,هافان,2XL
445678,هافان/2xl-445678,100,هودي,هافان/2XL,هافان,2XL
4784368,هافان/2xl-4784368,100,"thirty سويت شيرت",هافان/2XL,هافان,2XL
5037503,هافان/2XL-5037503,0,"بلوزه زراير",هافان/2XL,هافان,2XL
21784358,هافان/3XL-21784358,96,"جاكيت ببندانه",هافان/3xl,هافان,3xl
43763129,هافان/3XL-43763129,100,بالطو,هافان/3xl,هافان,3xl
4784368,هافان/3xl-4784368,100,"thirty سويت شيرت",هافان/3xl,هافان,3xl
21784358,هافان/XL-21784358,100,"جاكيت ببندانه",هافان/XL,هافان,XL
35456438756,هافان/xl-35456438756,100,"طقم قطعتين",هافان/XL,هافان,XL
43763129,هافان/XL-43763129,100,بالطو,هافان/XL,هافان,XL
445678,هافان/xl-445678,100,هودي,هافان/XL,هافان,XL
4784368,هافان/xl-4784368,100,"thirty سويت شيرت",هافان/XL,هافان,XL
5037503,هافان/XL-5037503,100,"بلوزه زراير",هافان/XL,هافان,XL
74785963,هافان/XL-74785963,100,"بلوزه سندريلا",هافان/XL,هافان,XL
